"Date","BRK.B.Open","BRK.B.High","BRK.B.Low","BRK.B.Close","BRK.B.Volume","BRK.B.Adjusted"
2019-01-02,201.729995727539,204.399993896484,201.149993896484,202.800003051758,4802100,202.800003051758
2019-01-03,199.970001220703,200.220001220703,191.039993286133,191.660003662109,8540600,191.660003662109
2019-01-04,194.850006103516,196.690002441406,193.880004882812,195.199996948242,6611200,195.199996948242
2019-01-07,196.389999389648,198.279998779297,195.369995117188,196.910003662109,5423000,196.910003662109
2019-01-08,198.990005493164,199.080001831055,194.660003662109,196.309997558594,4476800,196.309997558594
2019-01-09,197.300003051758,197.679992675781,194.949996948242,196.369995117188,3607500,196.369995117188
2019-01-10,195.509994506836,197.899993896484,194.960006713867,196.580001831055,3627700,196.580001831055
2019-01-11,195.660003662109,196.649993896484,194.5,196.289993286133,3535200,196.289993286133
2019-01-14,194.779998779297,196.440002441406,194.460006713867,195.779998779297,3954300,195.779998779297
2019-01-15,195.789993286133,197.25,195.199996948242,196.940002441406,3206700,196.940002441406
2019-01-16,197.639999389648,199.570007324219,197.240005493164,198.410003662109,5069600,198.410003662109
2019-01-17,197.699996948242,199.410003662109,196.460006713867,198.779998779297,4161000,198.779998779297
2019-01-18,200.699996948242,204.729995727539,200.240005493164,204.479995727539,5941200,204.479995727539
2019-01-22,203.520004272461,204.960006713867,199.139999389648,200.720001220703,5397700,200.720001220703
2019-01-23,200.720001220703,201.309997558594,198.5,201.149993896484,3705400,201.149993896484
2019-01-24,199.75,201.600006103516,199.75,201.020004272461,4074800,201.020004272461
2019-01-25,203.050003051758,204.740005493164,201.020004272461,202.75,3823300,202.75
2019-01-28,201.490005493164,201.75,199.809997558594,200.949996948242,3718000,200.949996948242
2019-01-29,200.919998168945,202.149993896484,200.5,202.050003051758,2815400,202.050003051758
2019-01-30,203.309997558594,207.589996337891,203.050003051758,205.960006713867,4519900,205.960006713867
2019-01-31,204.679992675781,208.009994506836,203.639999389648,205.539993286133,8676200,205.539993286133
2019-02-01,206.520004272461,209.300003051758,206.199996948242,209.190002441406,5992600,209.190002441406
2019-02-04,209.160003662109,209.399993896484,207.050003051758,208.520004272461,3730900,208.520004272461
2019-02-05,209.100006103516,209.160003662109,206.529998779297,207.820007324219,4243700,207.820007324219
2019-02-06,207.240005493164,207.240005493164,205.100006103516,206.009994506836,3708800,206.009994506836
2019-02-07,204.529998779297,204.990005493164,200.570007324219,201.729995727539,4908700,201.729995727539
2019-02-08,200.820007324219,201.199996948242,198.210006713867,200.919998168945,4666700,200.919998168945
2019-02-11,201.690002441406,203.330001831055,201.320007324219,203.050003051758,3600100,203.050003051758
2019-02-12,204.940002441406,206.669998168945,204.869995117188,206.149993896484,3517900,206.149993896484
2019-02-13,206.960006713867,208.080001831055,205.410003662109,205.800003051758,3326900,205.800003051758
2019-02-14,204.639999389648,204.639999389648,201.600006103516,202.779998779297,3627300,202.779998779297
2019-02-15,204.860000610352,205.789993286133,204.070007324219,205.289993286133,5044700,205.289993286133
2019-02-19,205.100006103516,206.320007324219,204.679992675781,205.690002441406,3204000,205.690002441406
2019-02-20,205.779998779297,206.919998168945,204.940002441406,206.160003662109,3309300,206.160003662109
2019-02-21,206.270004272461,206.860000610352,204.350006103516,205.330001831055,3661400,205.330001831055
2019-02-22,204.25,204.589996337891,199.919998168945,201.910003662109,5575000,201.910003662109
2019-02-25,201.699996948242,205,201.220001220703,202.309997558594,5146500,202.309997558594
2019-02-26,202.399993896484,202.649993896484,201.300003051758,201.899993896484,4892500,201.899993896484
2019-02-27,201.720001220703,202.300003051758,201.25,202.289993286133,4247200,202.289993286133
2019-02-28,202.679992675781,202.940002441406,201.110000610352,201.300003051758,3619000,201.300003051758
2019-03-01,203.149993896484,203.839996337891,201.839996337891,203.130004882812,3529400,203.130004882812
2019-03-04,203.089996337891,204.869995117188,200.580001831055,201.809997558594,4640300,201.809997558594
2019-03-05,201.759994506836,202,200.580001831055,201.470001220703,5268400,201.470001220703
2019-03-06,201.610000610352,202.300003051758,200.570007324219,200.669998168945,3216600,200.669998168945
2019-03-07,200.580001831055,200.580001831055,197.990005493164,199.300003051758,5105700,199.300003051758
2019-03-08,197.910003662109,198.940002441406,197.029998779297,198.699996948242,3755200,198.699996948242
2019-03-11,199.619995117188,202.300003051758,199.470001220703,202.089996337891,3999300,202.089996337891
2019-03-12,202.660003662109,203.729995727539,202.229995727539,202.5,3756100,202.5
2019-03-13,203,205.360000610352,202.660003662109,204.059997558594,3693600,204.059997558594
2019-03-14,203.259994506836,204.360000610352,202.679992675781,203.380004882812,3084200,203.380004882812
2019-03-15,204.080001831055,206.160003662109,203.860000610352,204.309997558594,7738700,204.309997558594
2019-03-18,204.669998168945,206.949996948242,204.669998168945,206.679992675781,3964600,206.679992675781
2019-03-19,207.75,207.75,204.559997558594,205.149993896484,3881500,205.149993896484
2019-03-20,205.429992675781,205.449996948242,202.979995727539,203.270004272461,4053100,203.270004272461
2019-03-21,202.919998168945,204.699996948242,201.910003662109,204.429992675781,4182300,204.429992675781
2019-03-22,203.279998779297,204.009994506836,200.059997558594,200.550003051758,5872400,200.550003051758
2019-03-25,200.830001831055,201.979995727539,198.199996948242,199.440002441406,4113100,199.440002441406
2019-03-26,200.830001831055,201.320007324219,198.699996948242,200.619995117188,3737800,200.619995117188
2019-03-27,200.720001220703,201.199996948242,198.229995727539,199.210006713867,3619200,199.210006713867
2019-03-28,199.399993896484,200.75,198.399993896484,200.660003662109,3233600,200.660003662109
2019-03-29,201.339996337891,201.699996948242,200.029998779297,200.889999389648,4619400,200.889999389648
2019-04-01,202.160003662109,205.300003051758,202,205,4671600,205
2019-04-02,204.910003662109,205.429992675781,203.589996337891,203.880004882812,2599500,203.880004882812
2019-04-03,205.460006713867,205.699996948242,202.899993896484,203.669998168945,2864500,203.669998168945
2019-04-04,203.259994506836,204.940002441406,202.789993286133,204.100006103516,2436500,204.100006103516
2019-04-05,204.119995117188,205.529998779297,203.100006103516,205.330001831055,3363500,205.330001831055
2019-04-08,205.139999389648,205.639999389648,203.970001220703,205.25,2624000,205.25
2019-04-09,204.839996337891,204.970001220703,203.589996337891,204.919998168945,2589700,204.919998168945
2019-04-10,205.119995117188,205.229995727539,203.600006103516,204.520004272461,2632200,204.520004272461
2019-04-11,204.759994506836,207.089996337891,204.270004272461,206.669998168945,2988300,206.669998168945
2019-04-12,208.080001831055,211.669998168945,207.580001831055,210.559997558594,4778900,210.559997558594
2019-04-15,210.520004272461,210.550003051758,207.759994506836,209.740005493164,2587500,209.740005493164
2019-04-16,210.149993896484,211.839996337891,210,211.800003051758,2644800,211.800003051758
2019-04-17,212.389999389648,212.490005493164,209.679992675781,210.369995117188,2883000,210.369995117188
